Date,TimeStart,TimeEnd,Duration_min,Dept,Machine,BreakdownID,CauseText,CauseCategory,DetailNote,Current_Motor_Amp,Power_Motor_kW,Speed_Motor_rpm,Speed_Roller_rpm,Temperator_Bearing_Motor_DE_C,Temperator_Bearing_Motor_NDE_C,Temperator_Brass_bearing_DE_C,Temperator_Brass_bearing_NDE_C,Temperator_Oil_Gear_C,Temperator_Winding_Motor_Phase_U_C,Temperator_Winding_Motor_Phase_V_C,Temperator_Winding_Motor_Phase_W_C
2024-12-14,12:22,12:44,22.0,ELECTRICAL MANT - (A),Mill No.1,BD_20241214_1222,Invertor drive mill no.1 ลูก del fault shot circuit,Electrical,หยุดหีบ เนื่องจาก Invertor drive mill no.1 ลูก del fault shot circuit รวมเวลา 22 นาที,0.0,1.436842105263158e-05,0.0,3.157894736842105e-06,37.10728715789474,61.906841210526316,24.78143647368421,24.78143647368421,55.44293705263158,73.15403984210525,71.8378144736842,70.23919436842107
2024-12-16,08:43,08:55,12.0,MILLING HOUSE - (A),Mill No.1,BD_20241216_0843,แก้ไข Chute ของลูกป้อน Mill No.1 อ้อยม้วนอัดขอบ Chute,Mechanical,หยุดหีบ เนื่องจาก แก้ไข Chute ของลูกป้อน Mill No.1 อ้อยม้วนอัดขอบ Chute รวมเวลา 12 นาที,0.0,0.0,0.0,0.012901727272727271,29.264047,54.104779909090915,20.492048545454544,20.492048545454544,50.22341845454546,64.79629481818182,63.52363763636363,61.78939990909091
2024-12-17,08:50,08:58,8.0,MILLING HOUSE - (A),Mill No.1,BD_20241217_0850,แก้ไข Chute ของลูกป้อน Mill No.1 อ้อยม้วนอัดขอบ Chute,Mechanical,หยุดหีบ เนื่องจาก แก้ไข Chute ของลูกป้อน Mill No.1 อ้อยม้วนอัดขอบ Chute รวมเวลา 8 นาที,,,,,,,,,,,,
